name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Hyundai Grand i10 CRDi Asta Option,2013,270000,118000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5
Hyundai Verna 1.6 SX,2013,420000,69000,Diesel,Individual,Manual,Third Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5
Maruti Swift Dzire LXI,2015,434999,25000,Petrol,Individual,Manual,Second Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Hyundai Xcent 1.2 Kappa AT S Option,2015,400000,100000,Petrol,Individual,Automatic,First Owner,16.9 kmpl,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5
Maruti Swift Dzire VDI,2015,470000,110000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Nissan Terrano XL 85 PS,2015,480000,60000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5
Hyundai Santro Xing GL,2008,105000,128000,Petrol,Individual,Manual,First Owner,0.0 kmpl,1086 CC,62 bhp,96.1Nm@ 3000rpm,5
Tata Tiago 1.05 Revotorq XE,2017,325000,120000,Diesel,Individual,Manual,First Owner,27.28 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5
Toyota Etios Liva GD,2012,280000,80000,Diesel,Individual,Manual,Second Owner,,,,,
Aston Martin DB12,2024,22500000,4000,Petrol,Individual,Automatic,First Owner,7.6 kmpl,3982 CC,671 bhp,800Nm@ 2750rpm,4
Aston Martin Vanquish,2017,18500000,36000,Petrol,Individual,Automatic,Second Owner,7.4 kmpl,5935 CC,568 bhp,630Nm@ 5500rpm,2
Bentley Continental GT Mulliner,2022,24500000,21000,Petrol,Individual,Automatic,First Owner,7.0 kmpl,5998 CC,650 bhp,900Nm@ 1500-4500rpm,4
Bentley Flying Spur Speed,2022,25500000,18000,Petrol,Individual,Automatic,First Owner,7.1 kmpl,5998 CC,626 bhp,900Nm@ 1500-4500rpm,5
Ferrari 296 GTB,2023,34500000,9000,Petrol,Individual,Automatic,First Owner,7.9 kmpl,2992 CC,819 bhp,740Nm@ 6250rpm,2
Ferrari Purosangue,2023,36500000,7000,Petrol,Individual,Automatic,First Owner,6.9 kmpl,6496 CC,715 bhp,716Nm@ 6250rpm,4
Lamborghini Diablo VT,2001,18500000,62000,Petrol,Individual,Manual,Second Owner,5.8 kmpl,5992 CC,529 bhp,605Nm@ 5500rpm,2
Lamborghini Gallardo LP560-4,2012,16500000,54000,Petrol,Individual,Automatic,Second Owner,6.6 kmpl,5204 CC,552 bhp,540Nm@ 6500rpm,2
